FNew,MNew,Err,Accuracy
10.260782,4.239309,29.444414,70.555586
25.288511,3.4974298,39.411167,60.588833
5.8330493,40.103863,35.63308,64.36692
5.755873,40.08267,34.718723,65.281277
15.225156,15.372794,33.65957,66.34043
9.654145,3.5239255,28.593071,71.406929
9.747474,3.5557203,29.197725,70.802275
11.441751,40.13036,40.165977,59.834023
9.914389,3.4921308,29.306322,70.693678
14.1429,3.465635,38.76629,61.23371
12.707073,40.204548,40.03995,59.96005
12.037619,3.4285412,31.487638,68.512362
10.048998,3.5133274,29.697807,70.302193
22.24994,44.64522,49.814983,50.185017
7.7462893,44.54454,37.338448,62.661552
10.960748,4.2340097,29.62943,70.37057
6.418149,40.072067,36.593018,63.406982
14.880557,3.1582851,39.695393,60.304607
10.06874,40.098564,47.28911,52.71089
9.966437,40.24694,38.642944,61.357056
7.3711796,10.942717,29.349226,70.650774
9.966437,40.24694,38.642944,61.357056
9.086993,3.3755498,28.146618,71.853382
9.966437,40.24694,38.642944,61.357056
9.966437,40.24694,38.642944,61.357056
4.820791,45.71565,35.818092,64.181908
9.966437,40.24694,38.642944,61.357056
7.5524526,40.077366,33.02944,66.97056
5.352047,45.71565,35.649166,64.350834
8.130373,3.4073446,27.086126,72.913874
9.226986,40.162155,37.669598,62.330402
12.628102,3.4921308,28.989918,71.010082
8.981101,40.06147,36.90808,63.09192
