Fnew,Mnew,Err,Accuracy
11.0,2.0,26.0,74.0
10.0,2.0,31.0,69.0
11.0,2.0,30.0,70.0
11.0,2.0,32.0,68.0
10.0,2.0,31.0,69.0
10.0,2.0,31.0,69.0
10.0,2.0,27.0,73.0
9.0,2.0,30.0,70.0
9.0,2.0,31.0,69.0
10.0,2.0,31.0,69.0
10.0,2.0,30.0,70.0
12.0,3.0,29.0,71.0
7.0,2.0,27.0,73.0
10.0,2.0,31.0,69.0
12.0,2.0,29.0,71.0
11.0,2.0,29.0,71.0
9.0,2.0,27.0,73.0
11.0,2.0,31.0,69.0
10.0,2.0,30.0,70.0
7.0,2.0,28.0,72.0
12.0,2.0,32.0,68.0
9.0,2.0,31.0,69.0
10.0,2.0,29.0,71.0
10.0,2.0,33.0,67.0
11.0,2.0,32.0,68.0
11.0,2.0,31.0,69.0
9.0,2.0,27.0,73.0
12.0,2.0,28.0,72.0
10.0,2.0,32.0,68.0
9.0,3.0,31.0,69.0
10.0,2.0,30.0,70.0
9.0,2.0,27.0,73.0
10.0,2.0,28.0,72.0
