@relation 'UNSWNB15Train'
@attribute state {1,2,3,4,5,6,7,999}
@attribute sttl real
@attribute dttl real
@attribute djit real
@attribute swin real
@attribute dwin real
@attribute synack real
@attribute ct_state_ttl real
@attribute ct_dst_sport_ltm real
@attribute ct_src_ltm real
@attribute ct_srv_dst real
@attribute attack_cat {Normal,Fuzzers,Analysis,Backdoor,DoS,Exploits,Generic,Reconnaissance,Shellcode,Worms}
@data
1,254,0,0,0,0,0,2,1,1,2,Normal
1,254,0,0,0,0,0,2,1,1,2,Normal
1,254,0,0,0,0,0,2,1,1,3,Normal
1,254,0,0,0,0,0,2,1,2,3,Normal
1,254,0,0,0,0,0,2,1,2,3,Normal
1,254,0,0,0,0,0,2,1,2,2,Normal
1,254,0,0,0,0,0,2,1,2,2,Normal
1,254,0,0,0,0,0,2,1,1,3,Normal
1,0,0,0,0,0,0,2,2,2,2,Normal
1,0,0,0,0,0,0,2,2,2,2,Normal
1,0,0,0,0,0,0,2,2,2,2,Normal
1,0,0,0,0,0,0,2,2,2,2,Normal
1,254,0,0,0,0,0,2,1,1,3,Normal
1,254,0,0,0,0,0,2,1,1,3,Normal
1,254,0,0,0,0,0,2,1,1,1,Normal
1,254,0,0,0,0,0,2,1,2,3,Normal
1,254,0,0,0,0,0,2,1,1,2,Normal
1,254,0,0,0,0,0,2,1,1,2,Normal
1,254,0,0,0,0,0,2,1,1,2,Normal
1,254,0,0,0,0,0,2,1,2,2,Normal
1,254,0,0,0,0,0,2,1,1,2,Normal
1,254,0,0,0,0,0,2,1,1,2,Normal
1,254,0,0,0,0,0,2,1,1,3,Normal
1,254,0,0,0,0,0,2,1,2,3,Normal
1,254,0,0,0,0,0,2,1,2,3,Normal
1,254,0,0,0,0,0,2,1,2,2,Normal
1,254,0,0,0,0,0,2,1,2,2,Normal
1,254,0,0,0,0,0,2,1,2,1,Normal
1,254,0,0,0,0,0,2,1,2,2,Normal
2,254,252,468.508156,255,255,0.079731,1,1,1,1,Normal
1,254,0,0,0,0,0,2,1,2,2,Normal
2,254,252,399.405156,255,255,0.095516,1,1,1,1,Normal
2,254,252,788.701375,255,255,0.077744,1,1,2,1,Normal
1,254,0,0,0,0,0,2,1,1,2,Normal
2,254,252,346.639313,255,255,0.09657,1,1,2,2,Normal
2,62,252,192.590406,255,255,0.108393,1,1,1,3,Normal
2,254,252,218.658469,255,255,0.079909,1,1,2,2,Normal
1,0,0,0,0,0,0,2,2,2,2,Normal
1,0,0,0,0,0,0,2,2,2,2,Normal
1,0,0,0,0,0,0,2,2,2,2,Normal
2,62,252,244.118016,255,255,0.103612,1,1,1,3,Normal
1,0,0,0,0,0,0,2,2,2,2,Normal
2,254,252,186.487812,255,255,0.138291,1,1,1,2,Normal
2,254,252,140.050609,255,255,0.069791,1,1,1,3,Normal
2,254,252,257.271375,255,255,0.079802,1,1,1,3,Normal
2,62,252,255.756219,255,255,0.128459,1,1,3,1,Normal
2,254,252,145.655875,255,255,0.089865,1,1,1,3,Normal
2,254,252,220.423188,255,255,0.105903,1,1,1,3,Normal
2,254,252,306.944813,255,255,0.107439,1,1,2,3,Normal
2,62,252,143.497953,255,255,0.084249,1,1,1,2,Normal
2,254,252,160.930422,255,255,0.120374,1,1,1,2,Normal
2,254,252,158.574391,255,255,0.117396,1,1,1,3,Normal
3,254,0,0,255,0,0,6,3,3,15,Normal
3,254,0,0,255,0,0,6,3,3,15,Normal
3,254,0,0,255,0,0,6,3,3,15,Normal
2,254,252,541.030062,255,255,0.081819,1,1,2,2,Normal
2,254,252,198.059172,255,255,0.13811,1,1,10,3,Normal
3,254,0,0,255,0,0,6,3,10,15,Normal
3,254,0,0,255,0,0,6,3,10,15,Normal
3,254,0,0,255,0,0,6,3,10,15,Normal
3,254,0,0,255,0,0,6,3,10,15,Normal
3,254,0,0,255,0,0,6,3,10,15,Normal
3,254,0,0,255,0,0,6,3,10,15,Normal
3,254,0,0,255,0,0,6,3,10,15,Normal
3,254,0,0,255,0,0,6,3,10,15,Normal
3,254,0,0,255,0,0,6,3,10,15,Normal
2,254,252,189.958375,255,255,0.127886,1,1,3,3,Normal
3,254,0,0,255,0,0,6,1,3,15,Normal
3,254,0,0,255,0,0,6,1,3,15,Normal
3,254,0,0,255,0,0,6,2,4,17,Normal
3,254,0,0,255,0,0,6,2,4,17,Normal
3,254,0,0,255,0,0,6,2,4,17,Normal
2,62,252,252.408328,255,255,0.07451,1,1,2,1,Normal
3,254,0,0,255,0,0,6,2,4,17,Normal
3,254,0,0,255,0,0,6,3,3,17,Normal
3,254,0,0,255,0,0,6,3,3,17,Normal
3,254,0,0,255,0,0,6,3,3,17,Normal
2,254,252,155.981016,255,255,0.098958,1,1,1,2,Normal
3,254,0,0,255,0,0,6,3,10,17,Normal
3,254,0,0,255,0,0,6,3,10,17,Normal
3,254,0,0,255,0,0,6,3,10,17,Normal
3,254,0,0,255,0,0,6,3,10,17,Normal
3,254,0,0,255,0,0,6,3,10,17,Normal
2,254,252,481.345844,255,255,0.162075,1,1,10,1,Normal
2,254,252,172.447047,255,255,0.11764,1,1,2,2,Normal
3,254,0,0,255,0,0,6,3,10,17,Normal
3,254,0,0,255,0,0,6,3,10,17,Normal
3,254,0,0,255,0,0,6,3,10,17,Normal
3,254,0,0,255,0,0,6,3,10,17,Normal
2,62,252,368.903437,255,255,0.150194,1,1,1,1,Normal
3,254,0,0,255,0,0,6,2,5,8,Normal
3,254,0,0,255,0,0,6,3,5,8,Normal
3,254,0,0,255,0,0,6,1,1,17,Normal
3,254,0,0,255,0,0,6,3,5,8,Normal
3,254,0,0,255,0,0,6,3,5,8,Normal
3,254,0,0,255,0,0,6,2,5,8,Normal
2,254,252,166495,255,255,0.090584,1,1,2,3,Normal
2,254,252,225.094078,255,255,0.079005,1,1,1,3,Normal
3,254,0,0,255,0,0,6,2,3,11,Normal
2,62,252,514.389156,255,255,0.071357,1,1,1,2,Normal
3,254,0,0,255,0,0,6,2,3,11,Normal
2,254,252,425.373531,255,255,0.156418,1,1,3,1,Normal
2,254,252,172.291953,255,255,0.087402,1,1,1,3,Normal
3,254,0,0,255,0,0,6,2,3,8,Normal
3,254,0,0,255,0,0,6,2,3,8,Normal
3,254,0,0,255,0,0,6,2,2,11,Normal
3,254,0,0,255,0,0,6,2,2,11,Normal
2,254,252,198.409875,255,255,0.083699,1,1,1,2,Normal
3,254,0,0,255,0,0,6,2,2,11,Normal
3,254,0,0,255,0,0,6,2,2,11,Normal
2,254,252,162.022297,255,255,0.083125,1,1,2,2,Normal
3,254,0,0,255,0,0,6,2,5,11,Normal
2,254,252,182.480562,255,255,0.140685,1,1,2,3,Normal
3,254,0,0,255,0,0,6,1,2,9,Normal
3,254,0,0,255,0,0,6,2,5,11,Normal
3,254,0,0,255,0,0,6,1,5,11,Normal
2,62,252,271.657688,255,255,0.109439,1,1,2,2,Normal
3,254,0,0,255,0,0,6,2,5,11,Normal
3,254,0,0,255,0,0,6,2,5,11,Normal
3,254,0,0,255,0,0,6,2,9,9,Normal
3,254,0,0,255,0,0,6,2,9,9,Normal
3,254,0,0,255,0,0,6,2,9,9,Normal
2,254,252,215.683547,255,255,0.108745,1,1,1,3,Normal
3,254,0,0,255,0,0,6,2,9,9,Normal
3,254,0,0,255,0,0,6,2,9,9,Normal
3,254,0,0,255,0,0,6,2,9,9,Normal
3,254,0,0,255,0,0,6,2,9,9,Normal
2,254,252,196.170453,255,255,0.128308,1,1,9,3,Normal
3,254,0,0,255,0,0,6,2,9,9,Normal
2,254,252,179.829109,255,255,0.154212,1,1,1,3,Normal
2,62,252,308.739156,255,255,0.075141,1,1,1,1,Normal
2,254,252,345.173906,255,255,0.074759,1,1,1,3,Normal
2,254,252,224.065016,255,255,0.154903,1,1,2,3,Normal
2,254,252,296.206062,255,255,0.059793,1,1,2,2,Normal
2,254,252,290.400688,255,255,0.081363,1,1,1,2,Normal
2,62,252,249.897156,255,255,0.142526,1,1,1,4,Normal
2,62,252,361.663156,255,255,0.106148,1,3,3,4,Normal
2,62,252,361.663156,255,255,0.106148,1,3,3,4,Normal
2,254,252,155.716141,255,255,0.0829,1,1,1,2,Normal
2,62,252,361.663156,255,255,0.106148,1,3,3,4,Normal
2,254,252,272.772906,255,255,0.075352,1,1,1,1,Normal
2,254,252,275.466563,255,255,0.075253,1,1,2,2,Normal
2,254,252,230.862594,255,255,0.084404,1,1,1,2,Normal
2,62,252,332.885312,255,255,0.076835,1,1,1,5,Normal
2,254,252,152.201516,255,255,0.139422,1,1,2,3,Normal
2,62,252,274.637688,255,255,0.104015,1,2,3,5,Normal
2,62,252,274.637688,255,255,0.104015,1,2,3,5,Normal
2,254,252,184.499641,255,255,0.062448,1,1,1,3,Normal
2,254,252,188.508297,255,255,0.144164,1,1,3,1,Normal
2,62,252,149.406563,255,255,0.067697,1,1,1,2,Normal
2,254,252,150.487172,255,255,0.12385,1,1,1,2,Normal
2,62,252,154.534266,255,255,0.072004,1,1,1,2,Normal
2,254,252,226.545547,255,255,0.114578,1,1,1,2,Normal
2,254,252,184.798297,255,255,0.109304,1,1,1,2,Normal
2,254,252,202.278828,255,255,0.067118,1,1,2,2,Normal
2,254,252,131.455094,255,255,0.07776,1,1,1,4,Normal
2,254,252,163.732797,255,255,0.065254,1,1,1,2,Normal
2,62,252,397.208594,255,255,0.098223,1,1,1,2,Normal
2,254,252,207.317875,255,255,0.099541,1,1,1,4,Normal
2,254,252,138.291359,255,255,0.145203,1,1,2,3,Normal
2,62,252,160.059984,255,255,0.091674,1,1,1,1,Normal
2,254,252,181.029141,255,255,0.073071,1,1,2,1,Normal
2,254,252,89.613461,255,255,0.08526,1,1,2,3,Normal
3,254,0,0,255,0,0,6,2,11,17,Normal
3,254,0,0,255,0,0,6,2,11,17,Normal
3,254,0,0,255,0,0,6,2,11,17,Normal
3,254,0,0,255,0,0,6,2,11,17,Normal
3,254,0,0,255,0,0,6,2,11,17,Normal
3,254,0,0,255,0,0,6,2,11,17,Normal
3,254,0,0,255,0,0,6,2,11,17,Normal
3,254,0,0,255,0,0,6,2,11,17,Normal
2,254,252,177.597625,255,255,0.170975,1,1,2,3,Normal
3,254,0,0,255,0,0,6,2,11,17,Normal
3,254,0,0,255,0,0,6,2,11,17,Normal
3,254,0,0,255,0,0,6,1,11,17,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
2,254,252,125.331422,255,255,0.065034,1,1,22,1,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
2,62,252,186.929859,255,255,0.08797,1,1,1,2,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,1,22,25,Normal
3,254,0,0,255,0,0,6,2,6,17,Normal
3,254,0,0,255,0,0,6,2,6,17,Normal
3,254,0,0,255,0,0,6,2,6,17,Normal
3,254,0,0,255,0,0,6,2,6,17,Normal
3,254,0,0,255,0,0,6,1,6,17,Normal
3,254,0,0,255,0,0,6,1,6,17,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,1,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,22,25,Normal
3,254,0,0,255,0,0,6,2,2,25,Normal
3,254,0,0,255,0,0,6,2,2,25,Normal
1,254,0,0,0,0,0,2,1,1,1,Normal
3,254,0,0,255,0,0,6,2,3,25,Normal
3,254,0,0,255,0,0,6,1,3,25,Normal
3,254,0,0,255,0,0,6,2,5,10,Normal
3,254,0,0,255,0,0,6,2,5,10,Normal
3,254,0,0,255,0,0,6,2,5,10,Normal
3,254,0,0,255,0,0,6,2,5,10,Normal
3,254,0,0,255,0,0,6,1,5,10,Normal
1,254,0,0,0,0,0,2,1,2,2,Normal
2,62,252,264.53125,255,255,0.118175,1,1,1,2,Normal
2,254,252,203.207203,255,255,0.132422,1,1,1,2,Normal
3,254,0,0,255,0,0,6,2,3,25,Normal
2,254,252,448.213062,255,255,0.096279,1,1,6,1,Normal
1,254,0,0,0,0,0,2,4,4,4,Normal
3,254,0,0,255,0,0,6,2,6,10,Normal
3,254,0,0,255,0,0,6,2,6,10,Normal
1,254,0,0,0,0,0,2,4,4,4,Normal
1,254,0,0,0,0,0,2,4,4,4,Normal
3,254,0,0,255,0,0,6,2,6,10,Normal
1,254,0,0,0,0,0,2,4,4,4,Normal
3,254,0,0,255,0,0,6,2,6,10,Normal
2,254,252,461.2485,255,255,0.127659,1,1,1,2,Normal
3,254,0,0,255,0,0,6,2,7,7,Normal
3,254,0,0,255,0,0,6,2,7,7,Normal
3,254,0,0,255,0,0,6,2,7,7,Normal
3,254,0,0,255,0,0,6,2,7,7,Normal
3,254,0,0,255,0,0,6,1,1,10,Normal
3,254,0,0,255,0,0,6,2,7,7,Normal
2,254,252,121.234352,255,255,0.128843,1,1,1,2,Normal
1,254,0,0,0,0,0,2,1,3,2,Normal
3,254,0,0,255,0,0,6,2,7,7,Normal
3,254,0,0,255,0,0,6,1,7,7,Normal
1,254,0,0,0,0,0,2,2,3,2,Normal
1,254,0,0,0,0,0,2,2,3,2,Normal
2,254,252,259.958828,255,255,0.075085,1,1,1,2,Normal
2,254,252,469482,255,255,0.07008,1,1,1,1,Normal
2,62,252,352.723313,255,255,0.176119,1,1,1,1,Normal
1,254,0,0,0,0,0,2,1,1,2,Normal
1,254,0,0,0,0,0,2,1,1,1,Reconnaissance
1,254,0,0,0,0,0,2,1,1,1,Reconnaissance
1,254,0,0,0,0,0,2,1,1,1,Backdoor
1,254,0,0,0,0,0,2,1,1,1,DoS
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Analysis
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Exploits
2,62,252,54.342605,255,255,0.00698,1,1,2,3,Exploits
2,62,252,78.615164,255,255,0.056063,1,1,2,2,Exploits
2,254,252,76.355812,255,255,0.011825,1,1,1,2,Exploits
2,254,252,130.206961,255,255,0.039567,1,1,1,1,Reconnaissance
2,62,252,36169.42875,255,255,0.010067,1,1,1,1,Exploits
2,62,252,58.916566,255,255,0.012339,1,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Reconnaissance
2,254,252,137.155687,255,255,0.038465,1,1,1,1,Reconnaissance
2,254,252,61.817492,255,255,0.009806,1,1,1,1,Reconnaissance
2,62,252,745.606365,255,255,0.028738,1,1,1,1,Exploits
2,254,252,125.017484,255,255,0.067821,1,1,2,1,Exploits
2,62,252,2285.089136,255,255,0.048439,1,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Reconnaissance
1,254,0,0,0,0,0,2,1,1,1,Fuzzers
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Exploits
2,254,252,71.479023,255,255,0.025907,1,1,1,2,Exploits
2,254,252,136.591312,255,255,0.010495,1,1,3,1,Reconnaissance
2,254,252,51.108875,255,255,0.046011,1,1,2,12,Fuzzers
2,254,252,50.775418,255,255,0.031846,1,1,5,12,Fuzzers
1,254,0,0,0,0,0,2,1,1,1,Reconnaissance
2,254,252,110.386664,255,255,0.057477,1,1,3,9,Fuzzers
2,254,252,156.682875,255,255,0.06836,1,1,1,7,Fuzzers
2,62,252,5599.901392,255,255,0.047985,1,1,2,1,Exploits
2,62,252,177.307719,255,255,0.062859,1,1,2,1,Exploits
1,254,0,0,0,0,0,2,1,2,1,Reconnaissance
2,254,252,108.610156,255,255,0.060533,1,1,2,6,Fuzzers
2,254,252,141.913062,255,255,0.111084,1,1,1,6,Fuzzers
2,254,252,219.430766,255,255,0.081185,1,1,2,3,Fuzzers
2,254,252,223.827219,255,255,0.059008,1,1,2,3,Fuzzers
2,254,252,138.131156,255,255,0.076982,1,1,2,4,Exploits
2,254,252,174.931125,255,255,0.063971,1,1,2,1,Exploits
2,254,252,122.909242,255,255,0.06238,1,1,1,1,DoS
2,254,252,111.996453,255,255,0.086672,1,1,2,3,Fuzzers
2,254,252,161.644531,255,255,0.063473,1,1,1,2,Reconnaissance
2,254,252,129.041281,255,255,0.057685,1,1,2,6,Fuzzers
2,254,252,113.067641,255,255,0.046605,1,1,1,7,Fuzzers
2,254,252,85.463906,255,255,0.039832,1,1,2,7,Fuzzers
2,62,252,112.85018,255,255,0.047353,1,1,3,1,Exploits
2,254,252,107.443609,255,255,0.067548,1,1,2,4,Fuzzers
2,62,252,162.067969,255,255,0.051706,1,1,1,3,Exploits
2,254,252,106.542766,255,255,0.050666,1,1,1,1,Exploits
2,62,252,57.058832,255,255,0.009477,1,1,2,2,Exploits
2,254,252,139.402437,255,255,0.008939,1,1,1,1,Reconnaissance
2,254,252,61.652242,255,255,0.008343,1,1,1,1,Reconnaissance
2,62,252,51.086562,255,255,0.01498,1,1,1,1,Exploits
2,62,252,2506.784107,255,255,0.044489,1,1,1,1,Exploits
2,62,252,59.033086,255,255,0.007554,1,1,2,2,Exploits
2,62,252,868.071675,255,255,0.013861,1,1,1,1,Exploits
2,62,252,71.707625,255,255,0.041314,1,1,2,1,Exploits
2,254,252,66.626336,255,255,0.049463,1,1,1,1,Exploits
2,254,252,178.680672,255,255,0.036372,1,1,1,1,Exploits
2,254,252,95.774516,255,255,0.052219,1,1,1,5,Fuzzers
2,254,252,157.922266,255,255,0.079865,1,1,2,5,Fuzzers
2,254,252,146.834391,255,255,0.125815,1,1,2,5,Fuzzers
2,254,252,171.151797,255,255,0.077047,1,1,2,3,Fuzzers
1,254,0,0,0,0,0,2,1,2,1,Reconnaissance
2,254,252,203.247094,255,255,0.082811,1,1,2,1,Reconnaissance
2,254,252,252.233594,255,255,0.092702,1,1,1,5,Fuzzers
2,254,252,150.344531,255,255,0.121418,1,1,1,5,Fuzzers
2,254,252,246.086297,255,255,0.103532,1,1,1,3,Fuzzers
2,62,252,188.441078,255,255,0.076228,1,1,2,2,Exploits
2,254,252,149.212516,255,255,0.181181,1,1,1,5,Fuzzers
2,254,252,199.857828,255,255,0.122277,1,1,1,3,Fuzzers
2,254,252,108.168641,255,255,0.048911,1,1,1,1,Reconnaissance
2,254,252,102.10993,255,255,0.1216,1,1,1,7,Fuzzers
2,254,252,185.008125,255,255,0.081167,1,1,2,5,Fuzzers
2,254,252,220.230312,255,255,0.080481,1,1,1,1,Reconnaissance
2,62,252,3164.931511,255,255,0.058747,1,1,1,1,Exploits
2,62,252,157.835484,255,255,0.124782,1,1,1,1,Exploits
2,254,252,144.87725,255,255,0.105034,1,2,4,3,Fuzzers
2,254,252,8414999,255,255,0.080174,1,3,4,4,Fuzzers
2,254,252,167.271187,255,255,0.135546,1,1,1,1,Fuzzers
2,254,252,187.665875,255,255,0.13345,1,2,3,3,Fuzzers
2,62,252,199.297734,255,255,0.095961,1,1,3,1,Exploits
2,254,252,264.986469,255,255,0.078245,1,2,2,3,Fuzzers
2,62,252,3738.317491,255,255,0.083303,1,1,2,1,Exploits
2,62,252,134.368906,255,255,0.068572,1,1,1,1,Exploits
2,254,252,137257,255,255,0.094113,1,1,2,3,Fuzzers
2,254,252,267.240969,255,255,0.089581,1,1,1,2,Fuzzers
2,62,252,9563.599221,255,255,0.112794,1,1,1,1,Exploits
2,62,252,205.263688,255,255,0.066968,1,1,1,1,DoS
2,254,252,209.951109,255,255,0.219112,1,1,1,2,Fuzzers
2,62,252,215.94,255,255,0.103293,1,1,1,1,DoS
2,254,252,290.622781,255,255,0.140259,1,1,2,2,Fuzzers
2,254,252,380.660312,255,255,0.190251,1,1,1,2,Fuzzers
2,62,252,227.798391,255,255,0.082785,1,1,2,1,Exploits
2,62,252,151.330719,255,255,0.079015,1,1,2,1,Exploits
2,254,252,23919006,255,255,0.13345,1,1,1,2,Fuzzers
2,254,252,171.932078,255,255,0.102393,1,1,2,2,Fuzzers
2,254,252,185.638297,255,255,0.092365,1,1,2,4,Fuzzers
2,254,252,189.426984,255,255,0.093918,1,1,1,4,Fuzzers
2,254,252,17622054,255,255,0.080174,1,3,3,4,Fuzzers
2,254,252,207.381875,255,255,0.146677,1,1,2,1,Fuzzers
2,62,252,10330.40749,255,255,0.081714,1,1,3,1,Exploits
2,62,252,311.424656,255,255,0.193964,1,1,1,1,Exploits
2,254,252,209.267781,255,255,0.139863,1,1,2,3,Fuzzers
2,254,252,314.430656,255,255,0.149328,1,2,3,2,Fuzzers
2,254,252,211.306219,255,255,0.113446,1,1,1,1,Fuzzers
2,254,252,227.843938,255,255,0.131676,1,1,1,2,Fuzzers
2,254,252,359.838312,255,255,0.083595,1,1,1,2,Fuzzers
2,254,252,357.423844,255,255,0.046083,1,1,1,2,Fuzzers
2,254,252,383.0885,255,255,0.120464,1,1,1,1,Exploits
2,254,252,314.952719,255,255,0.143007,1,1,1,3,Fuzzers
1,254,0,0,0,0,0,2,1,1,1,DoS
1,254,0,0,0,0,0,2,1,1,1,DoS
1,254,0,0,0,0,0,2,1,1,1,DoS
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Exploits
1,254,0,0,0,0,0,2,1,1,1,Exploits
2,62,252,43.185934,255,255,0.007336,1,1,1,1,Exploits
2,254,252,139.418688,255,255,0.037078,1,1,1,1,Reconnaissance
